benchmark,framework,sockets,sizes,time
atax,dace_cpu,16,"(80000, 100000)",0.2457069480001337
atax,dace_cpu,16,"(80000, 100000)",0.24724319500001002
atax,dace_cpu,16,"(80000, 100000)",0.24319405100004587
atax,dace_cpu,16,"(80000, 100000)",0.2439321619999646
atax,dace_cpu,16,"(80000, 100000)",0.2463817889999973
atax,dace_cpu,16,"(80000, 100000)",0.24322113900007025
atax,dace_cpu,16,"(80000, 100000)",0.24374535500010097
atax,dace_cpu,16,"(80000, 100000)",0.24345596000011938
atax,dace_cpu,16,"(80000, 100000)",0.24857400199994117
atax,dace_cpu,16,"(80000, 100000)",0.2565896789999442
bicg,dace_cpu,16,"(100000, 80000)",0.23844866700005696
bicg,dace_cpu,16,"(100000, 80000)",0.2419880899999498
bicg,dace_cpu,16,"(100000, 80000)",0.24460859500004517
bicg,dace_cpu,16,"(100000, 80000)",0.23504094999998415
bicg,dace_cpu,16,"(100000, 80000)",0.23705807600003936
bicg,dace_cpu,16,"(100000, 80000)",0.23599358999990727
bicg,dace_cpu,16,"(100000, 80000)",0.23581236100017122
bicg,dace_cpu,16,"(100000, 80000)",0.23604985899987696
bicg,dace_cpu,16,"(100000, 80000)",0.23673759000007522
bicg,dace_cpu,16,"(100000, 80000)",0.23826368300001377
doitgen,dace_cpu,16,"(2048, 512, 512)",0.07219136000003346
doitgen,dace_cpu,16,"(2048, 512, 512)",0.06813076799994633
doitgen,dace_cpu,16,"(2048, 512, 512)",0.06888079899999866
doitgen,dace_cpu,16,"(2048, 512, 512)",0.07004595799980962
doitgen,dace_cpu,16,"(2048, 512, 512)",0.06903111799988437
doitgen,dace_cpu,16,"(2048, 512, 512)",0.06918848999998772
doitgen,dace_cpu,16,"(2048, 512, 512)",0.0689827039998363
doitgen,dace_cpu,16,"(2048, 512, 512)",0.06934629299985318
doitgen,dace_cpu,16,"(2048, 512, 512)",0.0694088230000034
doitgen,dace_cpu,16,"(2048, 512, 512)",0.06902883299994755
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.507908181999937
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.5687033269998665
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.652445640999986
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.61505167700011
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.5813312660000065
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.56782516699991
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.558449122999946
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.589435780000031
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.564097052999841
gemm,dace_cpu,16,"(20160, 23184, 13104)",7.5520842829998855
gemver,dace_cpu,16,"(40000,)",0.07051831600006153
gemver,dace_cpu,16,"(40000,)",0.07129112100005841
gemver,dace_cpu,16,"(40000,)",0.07131614000013542
gemver,dace_cpu,16,"(40000,)",0.07150455100008912
gemver,dace_cpu,16,"(40000,)",0.0706364930001655
gemver,dace_cpu,16,"(40000,)",0.07567302499978723
gemver,dace_cpu,16,"(40000,)",0.07285843399995429
gemver,dace_cpu,16,"(40000,)",0.0735013189998881
gemver,dace_cpu,16,"(40000,)",0.07650382099996023
gemver,dace_cpu,16,"(40000,)",0.08151421299999129
gesummv,dace_cpu,16,"(89600,)",0.24334902700002203
gesummv,dace_cpu,16,"(89600,)",0.2437188569999762
gesummv,dace_cpu,16,"(89600,)",0.24642540699983329
gesummv,dace_cpu,16,"(89600,)",0.2478785880000487
gesummv,dace_cpu,16,"(89600,)",0.253427967999869
gesummv,dace_cpu,16,"(89600,)",0.27899655300007
gesummv,dace_cpu,16,"(89600,)",0.6237895240001308
gesummv,dace_cpu,16,"(89600,)",1.1158228440001494
gesummv,dace_cpu,16,"(89600,)",1.1218399280000995
gesummv,dace_cpu,16,"(89600,)",1.1110452129998976
k2mm,dace_cpu,16,"(16128, 18144, 11088)",9.022447774000057
k2mm,dace_cpu,16,"(16128, 18144, 11088)",9.140503049000017
k2mm,dace_cpu,16,"(16128, 18144, 11088)",8.955239432000099
k2mm,dace_cpu,16,"(16128, 18144, 11088)",9.013095867999937
k2mm,dace_cpu,16,"(16128, 18144, 11088)",8.999177163000013
k2mm,dace_cpu,16,"(16128, 18144, 11088)",9.117293945000029
