benchmark,framework,sockets,sizes,time
atax,dace_cpu,8,"(56572, 70712)",0.2322317030011618
atax,dace_cpu,8,"(56572, 70712)",0.23410854399844538
atax,dace_cpu,8,"(56572, 70712)",0.23295468899959815
atax,dace_cpu,8,"(56572, 70712)",0.23165431400047964
atax,dace_cpu,8,"(56572, 70712)",0.23219637800139026
atax,dace_cpu,8,"(56572, 70712)",0.2317995939993125
atax,dace_cpu,8,"(56572, 70712)",0.23169629399853875
atax,dace_cpu,8,"(56572, 70712)",0.23180757899899618
atax,dace_cpu,8,"(56572, 70712)",0.23194096600127523
atax,dace_cpu,8,"(56572, 70712)",0.2318582059997425
bicg,dace_cpu,8,"(70712, 56572)",0.23137602799761225
bicg,dace_cpu,8,"(70712, 56572)",0.2295366729995294
bicg,dace_cpu,8,"(70712, 56572)",0.22950465999747394
bicg,dace_cpu,8,"(70712, 56572)",0.2296176039999409
bicg,dace_cpu,8,"(70712, 56572)",0.22907346899955883
bicg,dace_cpu,8,"(70712, 56572)",0.23013611700298497
bicg,dace_cpu,8,"(70712, 56572)",0.23010811299900524
bicg,dace_cpu,8,"(70712, 56572)",0.23038649999944028
bicg,dace_cpu,8,"(70712, 56572)",0.2289630759987631
bicg,dace_cpu,8,"(70712, 56572)",0.22918447199845104
doitgen,dace_cpu,8,"(1024, 512, 512)",0.08852354799819295
doitgen,dace_cpu,8,"(1024, 512, 512)",0.09059391700066044
doitgen,dace_cpu,8,"(1024, 512, 512)",0.0879969119996531
doitgen,dace_cpu,8,"(1024, 512, 512)",0.08955181899727904
doitgen,dace_cpu,8,"(1024, 512, 512)",0.08791276000192738
doitgen,dace_cpu,8,"(1024, 512, 512)",0.08883577900269302
doitgen,dace_cpu,8,"(1024, 512, 512)",0.08888065599967376
doitgen,dace_cpu,8,"(1024, 512, 512)",0.088974597001652
doitgen,dace_cpu,8,"(1024, 512, 512)",0.08857761100080097
doitgen,dace_cpu,8,"(1024, 512, 512)",0.08985919199767523
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.8161089130007895
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.926178623001761
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.977634625000064
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.990382423999108
gemm,dace_cpu,8,"(16000, 18400, 10400)",5.007231383999169
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.985433682999428
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.9853236460003245
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.985600791002071
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.987835473999439
gemm,dace_cpu,8,"(16000, 18400, 10400)",4.980148537997593
gemver,dace_cpu,8,"(28288,)",0.07191668599989498
gemver,dace_cpu,8,"(28288,)",0.07275955099976272
gemver,dace_cpu,8,"(28288,)",0.07338128899937146
gemver,dace_cpu,8,"(28288,)",0.07160826100152917
gemver,dace_cpu,8,"(28288,)",0.07595218400092563
gemver,dace_cpu,8,"(28288,)",0.07270496599812759
gemver,dace_cpu,8,"(28288,)",0.07435467499817605
gemver,dace_cpu,8,"(28288,)",0.0723154750012327
gemver,dace_cpu,8,"(28288,)",0.07175606699820491
gemver,dace_cpu,8,"(28288,)",0.07569484700070461
gesummv,dace_cpu,8,"(63360,)",0.2302942750029615
gesummv,dace_cpu,8,"(63360,)",0.23067263399934745
gesummv,dace_cpu,8,"(63360,)",0.23014715099998284
gesummv,dace_cpu,8,"(63360,)",0.22959942599845817
gesummv,dace_cpu,8,"(63360,)",0.22972375499739428
gesummv,dace_cpu,8,"(63360,)",0.22993974299970432
gesummv,dace_cpu,8,"(63360,)",0.2306829219996871
gesummv,dace_cpu,8,"(63360,)",0.23013986600199132
gesummv,dace_cpu,8,"(63360,)",0.2306946839999
gesummv,dace_cpu,8,"(63360,)",0.22957294300067588
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.735377212997264
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.874304886001482
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.883785799000179
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.957333667000057
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.975119273000018
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.976142562001769
k2mm,dace_cpu,8,"(12800, 14400, 8800)",6.028218057999766
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.978388554001867
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.968636339999648
k2mm,dace_cpu,8,"(12800, 14400, 8800)",5.97546263500044
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.608564358000876
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.592555892999371
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.596369401002448
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.597700980000809
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.530533679000655
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.566399844999978
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.535476070002915
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.571430728999985
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.589395153001533
k3mm,dace_cpu,8,"(12800, 14400, 8000)",7.5863196840000455
mvt,dace_cpu,8,"(62228,)",0.22371661499710171
mvt,dace_cpu,8,"(62228,)",0.22633053299796302
mvt,dace_cpu,8,"(62228,)",0.22395347999918158
mvt,dace_cpu,8,"(62228,)",0.22376385600000503
mvt,dace_cpu,8,"(62228,)",0.2238610320018779
mvt,dace_cpu,8,"(62228,)",0.22358648400040693
mvt,dace_cpu,8,"(62228,)",0.22371216700048535
mvt,dace_cpu,8,"(62228,)",0.22382396000102744
mvt,dace_cpu,8,"(62228,)",0.22367363200100954
mvt,dace_cpu,8,"(62228,)",0.2244662299999618
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.09096331900218502
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.0933852369998931
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.0910882819989638
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.09071934899839107
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.09083904999715742
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.09072553200167022
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.09062013800212299
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.09055041399915353
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.09203038700070465
jacobi_1d,dace_cpu,8,"(1000, 192000)",0.09038675000192598
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8418961620009213
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8421953889992437
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8423187059997872
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8416686429991387
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8420573519979371
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8406929010016029
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8463423009998223
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8425764120001986
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8404605340001581
jacobi_2d,dace_cpu,8,"(1000, 1416)",0.8420993330000783
